序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
175,臺北市,2014/01/07,士林,4.2,0.83,-,26.0,69,41,55.36,18.48,36.88,1.43,20.0,63.73
176,臺北市,2014/01/06,松山,-,0.6,441.4,19.5,49,29,43.08,12.17,30.89,2.05,16.84,60.15
177,臺北市,2014/01/06,古亭,2.6,0.42,-,32.3,57,25,22.97,4.38,18.59,2.94,18.17,57.37
178,臺北市,2014/01/06,中山,2.4,0.65,-,19.4,69,36,43.2,13.33,29.87,2.19,18.43,60.05
179,臺北市,2014/01/06,大同,4.1,1.18,-,-,73,34,78.29,41.96,36.32,-,-,-
180,臺北市,2014/01/06,萬華,-,0.53,-,22.0,50,27,41.01,9.78,31.23,3.16,18.18,57.61
181,臺北市,2014/01/06,陽明,4.1,0.15,411.88,48.6,19,13,3.88,0.73,3.14,-,10.88,90.24
182,臺北市,2014/01/06,士林,3.2,0.27,-,42.1,51,26,14.68,2.41,12.27,2.57,18.36,58.01
183,臺北市,2014/01/05,松山,-,0.64,-,40.3,118,75,26.07,1.77,24.29,2.06,15.42,52.57
184,臺北市,2014/01/05,古亭,7.4,0.65,-,37.5,118,71,23.5,3.71,19.79,3.13,15.61,57.73
185,臺北市,2014/01/05,中山,9.8,0.78,-,29.9,148,82,34.69,5.76,28.93,1.93,16.73,54.66
186,臺北市,2014/01/05,大同,10.1,1.13,-,-,142,85,68.79,29.85,38.94,-,-,-
187,臺北市,2014/01/05,萬華,8.7,0.71,-,30.7,115,73,34.86,3.92,30.94,2.85,16.16,54.59
188,臺北市,2014/01/05,陽明,10.1,0.42,419.46,61.6,62,44,7.67,0.64,7.01,-,8.9,81.79
189,臺北市,2014/01/05,士林,10.3,0.58,-,49.1,125,84,19.4,2.9,16.49,2.45,16.03,54.65
190,臺北市,2014/01/04,松山,-,0.77,-,35.9,138,85,31.0,1.18,29.82,1.92,17.27,53.9
191,臺北市,2014/01/04,古亭,9.7,0.88,-,31.6,151,86,39.8,4.67,35.13,2.17,17.86,57.56
192,臺北市,2014/01/04,中山,9.6,0.99,-,28.1,170,91,45.91,6.59,39.31,1.56,18.55,56.64
193,臺北市,2014/01/04,大同,9.4,1.28,-,-,157,95,69.89,24.59,45.31,-,-,-
194,臺北市,2014/01/04,萬華,10.6,0.86,-,32.4,138,87,42.7,3.42,39.28,2.14,18.37,53.99
195,臺北市,2014/01/04,陽明,11.7,0.61,428.29,56.9,91,63,15.09,0.55,14.52,-,10.45,84.76
196,臺北市,2014/01/04,士林,11.4,0.76,-,44.1,149,92,30.22,3.11,27.11,1.86,17.93,56.4
197,臺北市,2014/01/03,松山,5.3,0.93,445.34,16.1,62,50,58.17,17.42,40.75,1.41,19.52,69.85
198,臺北市,2014/01/03,古亭,5.7,0.86,-,14.5,73,41,49.64,12.9,36.75,1.6,19.67,72.06
199,臺北市,2014/01/03,中山,7.8,1.25,-,8.7,103,62,78.55,30.29,48.26,1.38,20.43,74.61
200,臺北市,2014/01/03,大同,8.4,2.02,-,-,103,65,106.06,56.5,49.56,-,-,-
201,臺北市,2014/01/03,萬華,9.4,1.13,-,10.6,70,53,66.73,21.06,45.67,1.16,20.12,72.3
202,臺北市,2014/01/03,陽明,2.4,0.24,413.91,55.2,26,22,3.79,0.43,3.3,-,15.2,82.77
203,臺北市,2014/01/03,士林,6.0,0.76,-,15.9,96,58,45.19,10.5,34.69,1.33,19.5,78.51
204,臺北市,2014/01/02,松山,4.4,1.12,445.53,21.1,56,39,73.05,31.35,41.7,1.17,19.61,69.21
205,臺北市,2014/01/02,古亭,3.1,0.96,-,21.8,60,37,52.88,17.97,34.91,1.59,20.31,68.16
206,臺北市,2014/01/02,中山,4.2,1.52,-,16.6,89,50,98.91,51.04,47.87,1.34,21.01,68.97
207,臺北市,2014/01/02,大同,6.4,2.56,-,-,90,53,129.21,77.88,51.33,-,-,-
208,臺北市,2014/01/02,萬華,5.5,1.28,-,21.3,60,40,66.56,23.31,43.25,1.29,20.59,67.03
